"POS"	"item"	"cond"	"wp"	"word"	"lemma"	"nchar"	"countForm"	"countLemma"	"listType"	"open"	"cwo"	"owo"
"ART"	26	"SAND"	11	"la"	"la"	2	25477273	42872777	""	0	7	NA
"NOUN"	26	"SAND"	12	"scarpa"	"scarpa"	6	4142	37436	""	1	NA	6
"ART"	31	"SYC"	0	"Il"	"il"	2	4690327	50202323	"B"	0	1	NA
"NOUN"	31	"SYC"	1	"cane"	"cane"	4	53811	117804	"B"	1	NA	1
"VER:fin"	31	"SYC"	2	"corre"	"correre"	5	30486	183770	"B"	1	NA	2
"ADJ"	31	"SYC"	3	"veloce"	"veloce"	6	56039	82879	"B"	1	NA	3
"ART"	31	"SYV"	0	"I"	"il"	1	1920335	50202323	"A"	0	1	NA
"NOUN"	31	"SYV"	1	"cani"	"cane"	4	55137	117804	"A"	1	NA	1
"VER:fin"	31	"SYV"	2	"corre"	"correre"	5	30486	183770	"A"	1	NA	2
"ADJ"	31	"SYV"	3	"veloce"	"veloce"	6	56039	82879	"A"	1	NA	3
"PRE"	31	"SYV"	4	"con"	"con"	3	10987094	11520484	"A"	0	2	NA
"ART"	31	"SYV"	5	"il"	"il"	2	25306031	50202323	"A"	0	3	NA
"NOUN"	31	"SYV"	6	"padrone"	"padrona|padrone"	7	34260	NA	"A"	1	NA	4
"ART"	32	"SYC"	0	"La"	"la"	2	4222776	42872777	"A"	0	1	NA
"NOUN"	32	"SYC"	1	"ragazza"	"ragazza"	7	87236	150147	"A"	1	NA	1
"VER:fin"	32	"SYC"	2	"canta"	"cantare"	5	14852	83987	"A"	1	NA	2
"ADV"	32	"SYC"	3	"bene"	"bene"	4	646059	921546	"A"	0	2	NA
"ARTPRE"	32	"SYC"	4	"sul"	"sul"	3	2017732	3238574	"A"	0	3	NA
"NOUN"	32	"SYC"	5	"palco"	"palco"	5	30905	34437	"A"	1	NA	3
"ART"	32	"SYV"	0	"Le"	"la"	2	1428406	42872777	"B"	0	1	NA
"NOUN"	32	"SYV"	1	"ragazze"	"ragazza"	7	56333	150147	"B"	1	NA	1
"VER:fin"	32	"SYV"	2	"canta"	"cantare"	5	14852	83987	"B"	1	NA	2
"ADV"	32	"SYV"	3	"bene"	"bene"	4	646059	921546	"B"	0	2	NA
"ART"	33	"SYC"	0	"Il"	"il"	2	4690327	50202323	"B"	0	1	NA
"VER:fin"	33	"SYC"	1	"passero"	"<unknown>"	7	1252	NA	"B"	1	NA	1
"VER:fin"	33	"SYC"	2	"vola"	"volare"	4	10400	56369	"B"	1	NA	2
"ART"	33	"SYV"	0	"Gli"	"il"	3	558412	50202323	"A"	0	1	NA
"NOUN"	33	"SYV"	1	"alberi"	"albero"	6	39524	82750	"A"	1	NA	1
"VER:fin"	33	"SYV"	2	"cade"	"cadere"	4	23908	162332	"A"	1	NA	2
"ADV:mente"	33	"SYV"	3	"improvvisamente"	"improvvisamente"	15	24723	28827	"A"	1	NA	3
"ARTPRE"	33	"SYV"	4	"sulla"	"sulla"	5	1747586	2602662	"A"	0	2	NA
"NOUN"	33	"SYV"	5	"strada"	"strada"	6	328114	466784	"A"	1	NA	4
"ART"	34	"SYC"	0	"Le"	"la"	2	1428406	42872777	"A"	0	1	NA
"NOUN"	34	"SYC"	1	"mamme"	"mamma"	5	12849	92439	"A"	1	NA	1
"VER:fin"	34	"SYC"	2	"dormono"	"dormire"	7	3353	73451	"A"	1	NA	2
"ADV"	34	"SYC"	3	"presto"	"presto"	6	158653	171492	"A"	0	2	NA
"PRE"	34	"SYC"	4	"con"	"con"	3	10987094	11520484	"A"	0	3	NA
