"POS"	"item"	"cond"	"wp"	"word"	"lemma"	"nchar"	"countForm"	"countLemma"	"listType"	"open"	"cwo"	"owo"
"VER:fin"	52	"WS"	3	"corre"	"correre"	5	30486	183770	"A"	1	NA	4
"NOUN"	53	"WS"	0	"Muro"	"muro"	4	5742	107436	"A"	1	NA	1
"NOUN"	53	"WS"	1	"taglia"	"taglia"	6	22501	21169	"A"	1	NA	2
"NOUN"	53	"WS"	2	"pomodoro"	"pomodoro"	8	11670	25172	"A"	1	NA	3
"NOUN"	53	"WS"	3	"bambino"	"bambino"	7	151888	509570	"A"	1	NA	4
"VER:fin"	54	"WS"	0	"Salta"	"saltare"	5	3019	71256	"A"	1	NA	1
"NOUN"	54	"WS"	1	"matita"	"matita"	6	6771	9903	"A"	1	NA	2
"NOUN"	54	"WS"	2	"sedia"	"sedia"	5	17772	27519	"A"	1	NA	3
"NOUN"	54	"WS"	3	"pane"	"pane"	4	52398	61185	"A"	1	NA	4
"NOUN"	55	"WS"	0	"Cucchiaio"	"cucchiaio"	9	1695	24358	"A"	1	NA	1
"ADJ"	55	"WS"	1	"nuvola"	"nuvolo"	6	6273	14253	"A"	1	NA	2
"VER:fin"	55	"WS"	2	"beve"	"bere"	4	7879	78752	"A"	1	NA	3
"NOUN"	55	"WS"	3	"zaino"	"zaino"	5	6024	8449	"A"	1	NA	4
